Area Type,Availability,Location,Size,Society,Total Sqft,Bathrooms,Balcony,Price,flag_status
Super Built-Up Area,18-Jun,Shree Ananth Nagar Layout,2 Bhk,Grrvagr,900,2.0,2.0,22.5,4
Built-Up Area,Ready To Move,Kundalahalli Colony,2 Bedroom,Grrvagr,1280,2.0,1.0,69.0,4
Plot Area,Ready To Move,Horamavu Agara,4 Bedroom,Grrvagr,1200,2.0,0.0,95.0,4
Built-Up Area,Ready To Move,Sarjapur Road,2 Bhk,Grrvagr,1025,2.0,2.0,36.0,4
Super Built-Up Area,17-Jun,Electronic City,2 Bhk,Prarkun,1108,2.0,1.0,63.0,4
Plot Area,Ready To Move,Mcechs Layout,5 Bedroom,Grrvagr,1200,5.0,2.0,170.0,4
Super Built-Up Area,Ready To Move,Coffee Board Layout,3 Bhk,Calyxy,3045,3.0,2.0,170.0,4
Plot Area,Ready To Move,Ambedkar Nagar,4 Bedroom,Thessrm,2900,3.0,2.0,300.0,4
Super Built-Up Area,Ready To Move,Vijayanagar,3 Bhk,Jjortom,1500,3.0,2.0,75.5,4
Super Built-Up Area,Ready To Move,Raja Rajeshwari Nagar,2 Bhk,Grrvagr,1295,2.0,2.0,43.9,4
Super Built-Up Area,Ready To Move,Budigere,2 Bhk,Pritytr,1162,2.0,1.0,59.9,4
Super Built-Up Area,Ready To Move,Sarjapur Road,2 Bhk,Usquaya,1035,2.0,2.0,49.2,4
Built-Up Area,Ready To Move,Attibele,4 Bedroom,Natic T,1600,4.0,0.0,52.8,4
Super Built-Up Area,Ready To Move,Kudlu Main Road,3 Bhk,Grrvagr,1464,3.0,2.0,46.0,4
Super Built-Up Area,18-Oct,Hennur Road,3 Bhk,Dsapesk,1866,2.0,2.0,61.58,4
Super Built-Up Area,Ready To Move,Geleyara Balaga Layout,2 Bhk,Jahtsa,700,1.0,1.0,26.0,0
Super Built-Up Area,Ready To Move,Kalena Agrahara,3 Bhk,Prillot,1804,3.0,2.0,120.0,4
Super Built-Up Area,Ready To Move,Sarjapur,2 Bhk,Grrvagr,913,2.0,1.0,32.0,4
Super Built-Up Area,21-Dec,Talaghattapura,3 Bhk,Sodgere,1868,3.0,2.0,131.0,4
Built-Up Area,Ready To Move,Kengeri Satellite Town,2 Bhk,Grrvagr,883,2.0,1.0,45.0,4
Plot Area,Ready To Move,Sundara Nagar,2 Bedroom,Grrvagr,900,2.0,1.0,110.0,4
Super Built-Up Area,Ready To Move,Kogilu,3 Bhk,Grrvagr,1664,2.0,3.0,73.95,4
Super Built-Up Area,Ready To Move,Hegde Nagar,3 Bhk,Soitaca,2026,3.0,2.0,132.0,4
Super Built-Up Area,Ready To Move,Balagere,2 Bhk,Soestin,1210,2.0,1.0,80.9,4
Plot Area,Ready To Move,Meenakunte,4 Bedroom,Sreat R,4111,4.0,2.0,250.0,4
Super Built-Up Area,Ready To Move,Kadugodi,3 Bhk,Alestrb,1762,3.0,3.0,91.45,4
Super Built-Up Area,Ready To Move,Jigani,3 Bhk,Dlhtsen,1252,3.0,3.0,55.0,4
Built-Up Area,Ready To Move,Gollarapalya Hosahalli,2 Bhk,Mauner,861,2.0,1.0,34.5,4
Built-Up Area,Ready To Move,7Th Phase Jp Nagar,3 Bhk,Brnia G,1420,2.0,1.0,100.0,4
Plot Area,Ready To Move,Srirampura,6 Bedroom,Grrvagr,1450,6.0,0.0,250.0,4
Built-Up Area,Ready To Move,Electronics City Phase 1,3 Bhk,Gaicave,1490,3.0,1.0,78.8,4
Super Built-Up Area,Ready To Move,Bisuvanahalli,3 Bhk,Grrvagr,1075,2.0,1.0,46.0,4
Super Built-Up Area,18-Aug,Old Madras Road,3 Bhk,Saesttt,1425,2.0,2.0,94.0,4
Built-Up Area,Ready To Move,Kalena Agrahara,2 Bhk,Nae 2El,1200,2.0,1.0,40.0,4
Super Built-Up Area,Ready To Move,Kaggadasapura,3 Bhk,Grrvagr,1280,2.0,2.0,56.0,4
Super Built-Up Area,Ready To Move,Silver Springs Layout,2 Bhk,Bhinglv,1084,2.0,2.0,50.0,4
Super Built-Up Area,18-Jul,Chandapura,2 Bhk,Suncees,1015,2.0,2.0,25.88,4
Super Built-Up Area,21-May,Kanakpura Road,2 Bhk,Golusli,1017,2.0,1.0,51.25,4
Super Built-Up Area,Ready To Move,Haralur Road,2 Bhk,Grrvagr,1027,2.0,2.0,44.0,4
Super Built-Up Area,Ready To Move,Electronic City Phase Ii,2 Bhk,Coush W,1069,2.0,2.0,45.0,4
Super Built-Up Area,Ready To Move,Hebbal,2 Bhk,Prersis,1349,2.0,1.0,98.2,4
Super Built-Up Area,Ready To Move,9Th Phase Jp Nagar,2 Bhk,Naensga,1005,2.0,1.0,50.0,4
Super Built-Up Area,Ready To Move,Jakkur,2 Bhk,Arzzo P,1417,2.0,3.0,75.0,4
Plot Area,18-Jan,Tc Palaya,3 Bedroom,Grrvagr,1475,3.0,1.0,98.0,4
Carpet Area,Ready To Move,Maruthi Sevanagar,2 Bhk,Smikaay,950,2.0,2.0,47.0,4
Super Built-Up Area,Ready To Move,Rmv 2Nd Stage,4 Bhk,Prave E,2000,4.0,0.0,120.0,4
Plot Area,Ready To Move,Giri Nagar,3 Bedroom,Grrvagr,880,3.0,1.0,140.0,4
Super Built-Up Area,Ready To Move,Sarjapur Road,4 Bhk,Ahriaup,1863,3.0,2.0,104.0,4
Super Built-Up Area,Ready To Move,Singasandra,2 Bhk,Priewhi,1010,2.0,1.0,29.5,4
Super Built-Up Area,Ready To Move,Kalena Agrahara,3 Bhk,Shodsth,1425,2.0,1.0,70.0,4
Super Built-Up Area,Ready To Move,Vijayanagar,3 Bhk,Swadeh,1450,3.0,0.0,100.0,4
Super Built-Up Area,Ready To Move,Kothanur,3 Bhk,Somumys,1847,3.0,2.0,105.0,4
Super Built-Up Area,Ready To Move,Aecs Layout,2 Bhk,Soran U,1100,2.0,3.0,45.0,4
Super Built-Up Area,20-Dec,Kanakpura Road,1 Bhk,Prarepa,525,1.0,1.0,26.0,0
Super Built-Up Area,Ready To Move,Mallasandra,3 Bhk,Puestig,1665,3.0,2.0,95.0,4
Super Built-Up Area,Ready To Move,Begur,4 Bhk,Prntsrt,1664,4.0,3.0,65.0,4
Super Built-Up Area,Ready To Move,Jp Nagar,3 Bhk,Maerar,1850,3.0,3.0,150.0,4
Super Built-Up Area,Ready To Move,Panathur,2 Bhk,Vaesh T,1438,2.0,3.0,100.0,4
Super Built-Up Area,Ready To Move,Sunder Ram Shetty Nagar,3 Bhk,Maisepa,1560,3.0,3.0,115.0,4
Super Built-Up Area,18-Apr,Yelahanka,2 Bhk,Grrvagr,1350,2.0,1.0,55.55,4
Super Built-Up Area,Ready To Move,Kanakpura Road,3 Bhk,Jrrnauv,1550,3.0,3.0,67.0,4
Super Built-Up Area,18-Apr,Malleshpalya,2 Bhk,Grrvagr,1140,2.0,2.0,46.5,4
Plot Area,Ready To Move,Srirampura,5 Bedroom,Grrvagr,1200,5.0,2.0,180.0,4
Super Built-Up Area,18-Dec,Kodathi,2 Bhk,Grrvagr,850,2.0,2.0,27.0,4
Super Built-Up Area,Ready To Move,Whitefield,2 Bhk,Gotis A,1280,2.0,2.0,75.0,4
Built-Up Area,Ready To Move,Munnekollal,2 Bhk,Grrvagr,1170,2.0,2.0,52.0,4
Super Built-Up Area,Ready To Move,Motappa Layout,2 Bhk,Puodse,1113,2.0,1.0,51.0,4
Super Built-Up Area,Ready To Move,Hennur Road,2 Bhk,Mileeou,1385,2.0,1.0,83.09,4
Super Built-Up Area,18-Apr,Electronic City,2 Bhk,Prarkun,1128,2.0,1.0,65.0,4
Plot Area,Ready To Move,Marathahalli,2 Bedroom,Grrvagr,1200,2.0,2.0,128.0,4
Plot Area,Ready To Move,Akshaya Vana,4 Bedroom,Grrvagr,1200,4.0,3.0,165.0,4
Super Built-Up Area,Ready To Move,Rajaji Nagar,3 Bhk,Pheston,2390,3.0,2.0,415.0,4
Plot Area,Ready To Move,Giri Nagar,4 Bedroom,Grrvagr,2400,4.0,1.0,400.0,4
Super Built-Up Area,Ready To Move,Haralur Road,3 Bhk,Nrowse,1464,3.0,2.0,56.0,4
Super Built-Up Area,Ready To Move,Manayata Tech Park,2 Bhk,Grrvagr,1200,2.0,2.0,55.0,4
Super Built-Up Area,Ready To Move,Kaval Byrasandra,2 Bhk,Abncy R,1200,2.0,2.0,52.0,4
Super Built-Up Area,Ready To Move,Kaggalipura,3 Bhk,Baowsig,1150,2.0,1.0,55.0,4
Built-Up Area,Ready To Move,Basavanna Nagar,3 Bhk,Itala A,1645,3.0,2.0,95.0,4
Super Built-Up Area,20-Mar,Sarjapur Road,2 Bhk,Grrvagr,1000,2.0,1.0,67.0,4
Plot Area,Ready To Move,Haralur Road,4 Bedroom,Grrvagr,2650,4.0,2.0,198.0,4
Super Built-Up Area,Ready To Move,6Th Phase Jp Nagar,2 Bhk,Hminebo,1192,2.0,2.0,74.0,4
Super Built-Up Area,Ready To Move,Ulsoor,3 Bhk,K Borja,2135,3.0,2.0,215.0,4
Super Built-Up Area,19-Dec,Whitefield,2 Bhk,Oreldhi,1173,2.0,1.0,58.0,4
Built-Up Area,Ready To Move,Uttarahalli,2 Bhk,Sungspr,1020,2.0,2.0,45.0,4
Super Built-Up Area,Ready To Move,Thigalarapalya,4 Bhk,Prtanha,3122,6.0,2.0,230.0,4
Super Built-Up Area,Ready To Move,Somasundara Palya,3 Bhk,Grrvagr,1600,3.0,3.0,64.0,4
Plot Area,18-Mar,T.C Palya,2 Bedroom,Grrvagr,1200,2.0,0.0,79.0,4
Carpet Area,Ready To Move,Muneshwara Nagar,2 Bhk,Grrvagr,1230,2.0,3.0,48.0,4
Super Built-Up Area,Ready To Move,Devarachikkanahalli,2 Bhk,Clntsrt,1250,2.0,2.0,40.0,4
Super Built-Up Area,Ready To Move,Kalena Agrahara,2 Bhk,Puamapa,1325,2.0,2.0,76.0,4
Built-Up Area,Ready To Move,7Th Phase Jp Nagar,3 Bhk,Brngsal,1850,3.0,1.0,150.0,4
Super Built-Up Area,21-Dec,Kanakpura Road,1 Bhk,Prarepa,525,2.0,2.0,21.53,4
Super Built-Up Area,Ready To Move,Basaveshwara Nagar,2 Bhk,Grrvagr,1200,2.0,2.0,65.0,4
Plot Area,Ready To Move,Bull Temple Road,3 Bedroom,Grrvagr,1350,2.0,0.0,140.0,4
Super Built-Up Area,18-Jun,Bommasandra,3 Bhk,Ssestth,1260,3.0,1.0,49.36,4
Super Built-Up Area,Ready To Move,Prashanth Nagar,3 Bhk,Vancy R,1800,3.0,0.0,150.0,4
Plot Area,18-Dec,Suragajakkanahalli,3 Bedroom,Prhyak,11,3.0,2.0,74.0,4
Built-Up Area,Ready To Move,Ardendale,2 Bhk,Miwel M,1100,2.0,1.0,43.25,4
Super Built-Up Area,Ready To Move,Harlur,2 Bhk,Srendpo,1508,2.0,1.0,77.0,4
Carpet Area,Ready To Move,Sampigehalli,3 Bhk,Puens G,1592,3.0,2.0,75.0,4
Super Built-Up Area,Ready To Move,Akshaya Nagar,2 Bhk,Sagassa,1388,2.0,3.0,57.0,4
Super Built-Up Area,18-May,Electronic City Phase Ii,1 Bhk,Snbay G,630,1.0,1.0,28.35,0
Plot Area,Ready To Move,Rmv,3 Bedroom,Grrvagr,2000,3.0,2.0,365.0,4
Super Built-Up Area,Ready To Move,Banashankari3Rd Stage Bigbazar,3 Bhk,Grrvagr,1762,3.0,1.0,125.0,4
Super Built-Up Area,21-Dec,Bagalur Main Road,2 Bhk,Grrvagr,950,2.0,2.0,50.0,4
Super Built-Up Area,Ready To Move,Kodihalli,4 Bhk,Soianal,3252,5.0,3.0,335.0,4
Super Built-Up Area,18-Aug,Magadi Road,2 Bhk,Vrenty,1116,2.0,1.0,50.0,4
Super Built-Up Area,Ready To Move,Narayanapura,2 Bhk,Arioshe,1308,2.0,2.0,89.04,4
Super Built-Up Area,Ready To Move,Ms Pallya,3 Bhk,Grrvagr,1200,3.0,0.0,90.0,4
Plot Area,Ready To Move,Binny Mills Employees Colony,4 Bedroom,Grrvagr,1500,4.0,2.0,230.0,4
Built-Up Area,Ready To Move,Bannerghatta Road,1 Bhk,Grrvagr,500,1.0,1.0,18.5,0
Super Built-Up Area,Ready To Move,Hennur,2 Bhk,Sluresi,1075,2.0,1.0,52.0,4
Super Built-Up Area,18-Mar,Chandapura,1 Bhk,Siissi,530,1.0,0.0,11.66,0
Built-Up Area,Ready To Move,Bellandur,2 Bhk,Grrvagr,1205,2.0,3.0,66.0,4
Super Built-Up Area,Ready To Move,5Th Phase Jp Nagar,2 Bhk,Mangsr,1075,2.0,2.0,60.0,4
Built-Up Area,Ready To Move,Kr Puram,2 Bhk,Hovaste,930,2.0,2.0,39.0,4
Super Built-Up Area,Ready To Move,Balagere,2 Bhk,Exncene,1380,2.0,1.0,60.0,4
Super Built-Up Area,Ready To Move,Hebbal,4 Bhk,Prersis,2483,5.0,2.0,212.0,4
Built-Up Area,Ready To Move,Kodigehaali,2 Bhk,Shyas S,1166,2.0,2.0,55.0,4
Super Built-Up Area,Ready To Move,Bannerghatta Road,2 Bhk,Nadelci,1050,2.0,1.0,65.0,4
Super Built-Up Area,19-Mar,Gopalapura,3 Bhk,Sothadr,2023.71,3.0,2.0,275.0,4
Super Built-Up Area,Ready To Move,Begur Road,2 Bhk,Dhalsh,1200,2.0,2.0,46.8,4
Super Built-Up Area,Ready To Move,Lakshminarayana Pura,3 Bhk,Puarent,1600,2.0,1.0,108.0,4
Super Built-Up Area,Ready To Move,Billekahalli,3 Bhk,Maionpa,1935,3.0,2.0,110.0,4
Super Built-Up Area,18-May,8Th Phase Jp Nagar,1 Bhk,Maian M,451,1.0,0.0,29.9,0
Super Built-Up Area,Ready To Move,Electronic City,3 Bhk,Shstaal,1800,3.0,2.0,95.0,4
Super Built-Up Area,18-May,Jalahalli,3 Bhk,Shard T,1400,3.0,0.0,77.0,4
Super Built-Up Area,Ready To Move,Hegde Nagar,3 Bhk,Soitaca,1801,3.0,2.0,115.0,4
Built-Up Area,Ready To Move,Mahadevpura,2 Bhk,Neagar,1451,2.0,2.0,90.0,4
Plot Area,19-Jan,Anekal,2 Bedroom,Grrvagr,1200,1.0,1.0,36.0,0
Super Built-Up Area,Ready To Move,Begur Road,2 Bhk,Dhalsh,1160,2.0,2.0,44.0,4
Built-Up Area,Ready To Move,Kengeri,2 Bhk,Grrvagr,1000,2.0,1.0,25.0,4
Super Built-Up Area,Ready To Move,Kanakpura Road,2 Bhk,Wiowsri,950,2.0,1.0,40.0,4
Built-Up Area,20-Dec,"Hoodi Circle,",3 Bhk,Grrvagr,1629,3.0,2.0,79.0,4
Built-Up Area,Ready To Move,Vijayanagar,3 Bhk,Grrvagr,1580,2.0,0.0,134.0,4
Super Built-Up Area,21-Jun,Vijayanagar,3 Bhk,Saityat,1826,3.0,2.0,121.0,4
Built-Up Area,Ready To Move,7Th Phase Jp Nagar,2 Bhk,Eladero,1245,2.0,1.0,94.0,4
Super Built-Up Area,Ready To Move,Raja Rajeshwari Nagar,2 Bhk,Lancyey,1145,2.0,2.0,45.79,4
Super Built-Up Area,Ready To Move,Sompura,2 Bhk,Suiseit,825,2.0,1.0,33.0,4
Super Built-Up Area,18-Aug,Yeshwanthpur,3 Bhk,Aroomba,1693,3.0,3.0,108.0,4
Super Built-Up Area,Ready To Move,Electronics City Phase 1,2 Bhk,Courf T,1113.27,2.0,2.0,53.0,4
Built-Up Area,Ready To Move,Ashirvad Colony,2 Bhk,Vmowsea,1460,2.0,1.0,58.0,4
Built-Up Area,Ready To Move,Doddathoguru,2 Bhk,S Onsma,1050,2.0,1.0,32.0,4
Built-Up Area,Ready To Move,Dodda Nekkundi,2 Bhk,Tuentpa,1260,2.0,2.0,55.0,4
Super Built-Up Area,Ready To Move,K N Extension,6 Bhk,Grrvagr,700,3.0,2.0,120.0,4
Built-Up Area,Ready To Move,Hosur Road,2 Bhk,Tovesee,1656,2.0,1.0,120.0,4
Super Built-Up Area,Ready To Move,Chandapura,3 Bhk,Vailsaf,1208,3.0,1.0,45.0,4
Super Built-Up Area,Ready To Move,Whitefield,3 Bhk,Brlisco,1910,3.0,2.0,161.0,4
Super Built-Up Area,Ready To Move,Whitefield,4 Bhk,Haestt,3252,4.0,1.0,230.0,4
Plot Area,Ready To Move,Battarahalli,2 Bedroom,Grrvagr,1200,2.0,1.0,65.0,4
Super Built-Up Area,Ready To Move,Gokula Extension,4 Bhk,Grrvagr,1200,4.0,1.0,175.0,4
Super Built-Up Area,Ready To Move,7Th Phase Jp Nagar,2 Bhk,Briummi,1175,2.0,1.0,82.0,4
Plot Area,Ready To Move,Kamakshipalya,2 Bedroom,Grrvagr,1000,2.0,0.0,165.0,4
Plot Area,Ready To Move,Bannerghatta Road,4 Bedroom,Grrvagr,1200,2.0,0.0,125.0,4
Super Built-Up Area,Ready To Move,Rajaji Nagar,3 Bhk,Pheston,2390,3.0,2.0,410.0,4
Super Built-Up Area,19-Jan,Rajaji Nagar,7 Bhk,Grrvagr,12000,6.0,3.0,2200.0,4
Plot Area,Ready To Move,Sultan Palaya,2 Bedroom,Grrvagr,550,1.0,1.0,62.0,0
Super Built-Up Area,Ready To Move,Kengeri,1 Bhk,Grrvagr,34.46Sq. Meter,1.0,0.0,18.5,0
Super Built-Up Area,Ready To Move,Sanne Amanikere,2 Bhk,Hoxiaa,1185,2.0,2.0,38.0,4
Super Built-Up Area,Ready To Move,Kengeri,2 Bhk,Vbvenal,750,2.0,1.0,38.0,4
Plot Area,Ready To Move,Mahalakshmi Layout,6 Bedroom,Grrvagr,1200,7.0,3.0,250.0,4
Super Built-Up Area,Ready To Move,Kanakpura Road,3 Bhk,Jrrnauv,1550,3.0,3.0,64.5,4
Built-Up Area,Ready To Move,Amco Colony,3 Bhk,Hoeatan,1760,3.0,2.0,88.0,4
Super Built-Up Area,Ready To Move,Billekahalli,2 Bhk,Asity S,1125,2.0,2.0,62.0,4
Plot Area,Ready To Move,Nagarbhavi,3 Bedroom,Grrvagr,1350,3.0,2.0,150.0,4
Plot Area,17-Dec,Anandapura,2 Bedroom,Grrvagr,1000,2.0,1.0,55.0,4
Built-Up Area,18-Aug,Bommasandra Industrial Area,2 Bhk,Grrvagr,1090,2.0,2.0,31.48,4
Plot Area,Ready To Move,Tc Palaya,2 Bedroom,Grrvagr,1200,2.0,0.0,60.0,4
Super Built-Up Area,Ready To Move,Budigere,3 Bhk,Pritytr,1991,4.0,2.0,103.0,4
Super Built-Up Area,18-Oct,Bommasandra,2 Bhk,Dsoodil,1060,2.0,1.0,26.5,4
Super Built-Up Area,Ready To Move,Ambalipura,2 Bhk,Sjarkte,1105,2.0,1.0,75.0,4
Built-Up Area,Ready To Move,Hoodi,2 Bhk,Dhgraas,985,2.0,2.0,67.0,4
Plot Area,Ready To Move,Chandapura,6 Bedroom,Grrvagr,1533,5.0,3.0,85.0,4
Super Built-Up Area,17-Jul,Balagere,3 Bhk,Hiquema,1590,3.0,2.0,79.0,4
Super Built-Up Area,Ready To Move,Cv Raman Nagar,2 Bhk,Srshq T,1120,2.0,2.0,55.0,4
Super Built-Up Area,Ready To Move,Samethanahalli,2 Bhk,Spontna,1069,2.0,1.0,55.0,4
Super Built-Up Area,Ready To Move,Marathahalli,3 Bhk,Prionad,1933,3.0,2.0,140.0,4
Built-Up Area,16-Mar,Hosur Road,2 Bhk,Puendwe,1194,2.0,0.0,69.0,4
Super Built-Up Area,Ready To Move,Brookefield,2 Bhk,Danna S,1150,2.0,3.0,69.0,4
Super Built-Up Area,Ready To Move,Yelenahalli,2 Bhk,Grrvagr,1240,2.0,2.0,47.12,4
Super Built-Up Area,Ready To Move,Raja Rajeshwari Nagar,2 Bhk,Grrvagr,1419,2.0,2.0,48.1,4
Plot Area,Ready To Move,7Th Phase Jp Nagar,8 Bedroom,Grrvagr,1200,8.0,2.0,250.0,4
Super Built-Up Area,Ready To Move,Richmond Town,3 Bhk,Bltonin,2150,4.0,2.0,240.0,4
Super Built-Up Area,Ready To Move,Suddaguntepalya,3 Bhk,Msanaer,1450,3.0,2.0,55.0,4
Super Built-Up Area,18-Jul,Udayapur Village,3 Bhk,Plowsri,1630,3.0,2.0,68.29,4
Super Built-Up Area,Ready To Move,Dasanapura,2 Bhk,Tavenew,708,1.0,1.0,40.0,0
Plot Area,Ready To Move,Kasavanhalli,3 Bedroom,Grrvagr,1000,4.0,3.0,110.0,4
Plot Area,Ready To Move,Whitefield,4 Bedroom,Grrvagr,11890,4.0,3.0,700.0,4
Super Built-Up Area,Ready To Move,Bellandur,2 Bhk,Ocavees,1250,2.0,1.0,76.0,4
Super Built-Up Area,Ready To Move,7Th Phase Jp Nagar,3 Bhk,Brnia G,1400,2.0,1.0,95.0,4
Super Built-Up Area,Ready To Move,Sarjapur Road,3 Bhk,Grrvagr,1670,2.0,3.0,57.0,4
Super Built-Up Area,Ready To Move,Ardendale,3 Bhk,Soystam,1750,3.0,2.0,100.0,4
Super Built-Up Area,Ready To Move,Vittasandra,2 Bhk,Prlla C,1404,2.0,1.0,71.0,4
Super Built-Up Area,Ready To Move,Hoodi,3 Bhk,Smaxyay,1715,2.0,2.0,95.0,4
Built-Up Area,18-Apr,Electronic City,1 Bhk,Prarkun,630,1.0,1.0,34.65,0
Super Built-Up Area,Ready To Move,Harlur,3 Bhk,Sosiccl,1752.12,3.0,2.0,135.0,4
Super Built-Up Area,Ready To Move,Hulimavu,3 Bhk,Grrvagr,1650,3.0,2.0,78.0,4
Super Built-Up Area,Ready To Move,Raja Rajeshwari Nagar,2 Bhk,Grrvagr,1295,2.0,1.0,55.47,4
Plot Area,Ready To Move,Giri Nagar,3 Bedroom,Bancyri,1800,3.0,2.0,252.0,4
Super Built-Up Area,18-Sep,Sarjapur Road,2 Bhk,Pualesk,1346,2.0,1.0,74.03,4
Plot Area,Ready To Move,Thippasandra,4 Bedroom,Grrvagr,1200,4.0,2.0,200.0,4
Super Built-Up Area,Ready To Move,Hormavu,2 Bhk,Elavuho,1150,2.0,2.0,55.0,4
Built-Up Area,Ready To Move,Chikkabidarakallu,4 Bedroom,Gontyol,3309,4.0,3.0,325.0,4
Super Built-Up Area,18-May,Chandapura,3 Bhk,Suncees,1190,2.0,2.0,30.35,4
Super Built-Up Area,Ready To Move,Aecs Layout,3 Bhk,Dsutyng,1620,3.0,2.0,98.0,4
Super Built-Up Area,18-Apr,Marathahalli,2 Bhk,Grrvagr,950,2.0,1.0,46.96,4
Super Built-Up Area,Ready To Move,1 Giri Nagar,11 Bhk,Bancyri,5000,9.0,3.0,360.0,4
Super Built-Up Area,Ready To Move,Harlur,3 Bhk,Srendpo,2450,3.0,0.0,120.0,4
Super Built-Up Area,18-May,Electronic City Phase Ii,3 Bhk,Sryalan,1220,2.0,1.0,35.23,4
Super Built-Up Area,Ready To Move,Hoysalanagar,2 Bhk,Rkntsrt,850,2.0,1.0,30.0,4
Built-Up Area,Ready To Move,Padmanabhanagar,2 Bhk,Grrvagr,1020,2.0,2.0,63.0,4
Built-Up Area,Ready To Move,Chikkalasandra,2 Bhk,Grrvagr,1100,2.0,2.0,50.0,4
Super Built-Up Area,Ready To Move,Defence Colony,2 Bhk,Vantspa,1150,2.0,2.0,126.0,4
Super Built-Up Area,18-Dec,Hebbal,3 Bhk,Mahosya,1760,2.0,2.0,130.0,4
Super Built-Up Area,Ready To Move,Ambalipura,3 Bhk,Grrvagr,1800,3.0,3.0,110.0,4
Super Built-Up Area,Ready To Move,Akshaya Nagar,2 Bhk,Grrvagr,1070,2.0,1.0,54.0,4
Plot Area,Ready To Move,2Nd Stage Nagarbhavi,4 Bedroom,Grrvagr,1500,4.0,2.0,220.0,4
Plot Area,Ready To Move,Vidyaranyapura,2 Bedroom,Grrvagr,1440,2.0,0.0,95.0,4
Super Built-Up Area,Ready To Move,Amruthahalli,2 Bhk,Prowsi,900,2.0,1.0,40.0,4
Built-Up Area,Ready To Move,Iti Employees Layout,4 Bhk,Grrvagr,1200,4.0,1.0,230.0,4
Super Built-Up Area,18-May,Whitefield,2 Bhk,Smuilan,1130,2.0,1.0,42.16,4
Super Built-Up Area,Ready To Move,Koramangala,2 Bhk,Proodt,1320,2.0,1.0,165.0,4
Super Built-Up Area,19-Jun,Kodigehalli,2 Bhk,Grrvagr,1270,2.0,1.0,98.0,4
Built-Up Area,Ready To Move,Patelappa Layout,2 Bhk,Sryamar,1200,2.0,1.0,62.0,4
Super Built-Up Area,Ready To Move,Ring Road Nagarbhavi,4 Bhk,Grrvagr,4800,4.0,2.0,235.0,4
Super Built-Up Area,Ready To Move,Ns Palya,2 Bhk,Grrvagr,1200,2.0,1.0,74.0,4
Super Built-Up Area,Ready To Move,Subramanyapura,2 Bhk,Prldsri,929,2.0,0.0,50.17,4
Built-Up Area,Ready To Move,Rmv 2Nd Stage,4 Bhk,Liaveen,1150,4.0,2.0,260.0,4
Plot Area,Ready To Move,Basavangudi,4 Bedroom,Grrvagr,1125,4.0,3.0,180.0,4
Plot Area,Ready To Move,Kenchenahalli,5 Bedroom,Grrvagr,500,3.0,2.0,65.0,4
Plot Area,Ready To Move,3Rd Block Hrbr Layout,5 Bedroom,Bemesrm,1200,5.0,2.0,190.0,4
Super Built-Up Area,Ready To Move,Kudlu Main Road,3 Bhk,Grrvagr,1464,3.0,2.0,56.0,4
Super Built-Up Area,Ready To Move,7Th Phase Jp Nagar,4 Bhk,Grrvagr,3600,4.0,3.0,400.0,4
Plot Area,Ready To Move,Bank Avenue,4 Bedroom,Grrvagr,2000,4.0,2.0,99.0,4
Super Built-Up Area,Ready To Move,Chikkalasandra,2 Bhk,Grrvagr,1208,2.0,1.0,49.0,4
Super Built-Up Area,Ready To Move,Hebbal Kempapura,2 Bhk,Vrensn,1130,2.0,2.0,60.0,4
Super Built-Up Area,Ready To Move,Surabhi Layout,3 Bhk,Vddonel,1753,3.0,2.0,120.0,4
Super Built-Up Area,Ready To Move,Old Madras Road,5 Bhk,Brica E,4500,7.0,3.0,337.0,4
Plot Area,Ready To Move,Banjara Layout,3 Bedroom,Grrvagr,600,3.0,2.0,58.0,4
Super Built-Up Area,22-Jun,Hoodi,2 Bhk,Goairej,1196,2.0,2.0,94.42,4
Built-Up Area,Ready To Move,5Th Phase Jp Nagar,2 Bhk,Prenty,1150,3.0,3.0,52.5,4
Super Built-Up Area,18-Apr,Electronic City,2 Bhk,Prarkun,1128,2.0,1.0,63.0,4
Super Built-Up Area,Ready To Move,Omkar Nagar,2 Bhk,Shinei,1000,2.0,1.0,53.0,4
Super Built-Up Area,Ready To Move,Yelahanka,2 Bhk,Apows M,1035,2.0,1.0,45.0,4
Built-Up Area,Ready To Move,Kereguddadahalli,2 Bhk,Grrvagr,950,2.0,1.0,32.0,4
Super Built-Up Area,Ready To Move,Bisuvanahalli,3 Bhk,Prityel,1075,2.0,1.0,36.0,4
Super Built-Up Area,Ready To Move,Whitefield,2 Bhk,Svineun,1040,2.0,1.0,48.5,4
Plot Area,17-Oct,Maragondanahalli,2 Bedroom,Grrvagr,720,2.0,1.0,45.0,4
Super Built-Up Area,Ready To Move,Lingadheeranahalli,3 Bhk,Soiewre,1511,3.0,1.0,95.0,4
Built-Up Area,Ready To Move,Silk Board,3 Bhk,Grrvagr,1300,3.0,1.0,58.0,4
Super Built-Up Area,19-Dec,Hoodi,3 Bhk,Caycend,1545,3.0,1.0,68.75,4
Built-Up Area,Ready To Move,Shampura,1 Bhk,Grrvagr,375,2.0,0.0,26.0,4
Super Built-Up Area,Ready To Move,Vidyaranyapura,2 Bhk,Grrvagr,1062,2.0,3.0,38.0,4
Super Built-Up Area,Ready To Move,Kada Agrahara,2 Bhk,Grrvagr,1115,2.0,1.0,40.0,4
